,Reg no.,Name,"Incorp-
orated",Dissolved,Type
2025,441663,"ASIAN GLORY INDUSTRIES LIMITED (d2006-07-14)
亞譽實業有限公司",1993-08-10,2006-07-14,"Private, ltd by shares"
2026,424303,"ASIAN GLORY INTERNATIONAL LIMITED (d1996-08-23)
亞譽國際有限公司",1993-06-01,1996-08-23,"Private, ltd by shares"
2027,445056,"ASIAN GLORY TRADING LIMITED (d2006-03-10)
亞譽貿易有限公司",1993-08-19,2006-03-10,"Private, ltd by shares"
2028,450006,"ASIAN GOLD INDUSTRIAL LIMITED
華彩實業有限公司",1993-09-23,2004-07-09,"Private, ltd by shares"
2029,447649,"ASIAN GRACE DEVELOPMENT LIMITED
泰中發展有限公司",1993-09-02,2003-05-30,"Private, ltd by shares"
2030,448398,"ASIAN GRACE LIMITED (d1999-10-08)
泰亞有限公司",1993-09-07,1999-10-08,"Private, ltd by shares"
2031,440233,"ASIAN GROW LIMITED
亞展有限公司",1993-08-05,1997-11-14,"Private, ltd by shares"
2032,458561,ASIAN HANDICRAFTS & TEXTILES CO. LIMITED,1993-12-23,1997-08-08,"Private, ltd by shares"
2033,430901,ASIAN HILL LIMITED (d2007-11-09),1993-07-01,2007-11-09,"Private, ltd by shares"
2034,426780,"ASIAN HONOUR INTERNATIONAL LIMITED
譽東國際有限公司",1993-06-10,,"Private, ltd by shares"
2035,435943,ASIAN HOTELIER LIMITED,1993-07-15,1998-12-17,"Private, ltd by shares"
2036,451305,ASIAN INFRASTRUCTURE FUND ADVISERS LIMITED,1993-10-12,2011-03-29,"Private, ltd by shares"
2037,454771,ASIAN INFRASTRUCTURE LIMITED,1993-11-23,,"Private, ltd by shares"
2038,413107,ASIAN INSURANCE SERVICES LIMITED,1993-03-30,,"Private, ltd by shares"
2039,458599,"ASIAN INVESTMENT LIMITED (d2016-09-15)
毅興投資有限公司",1993-12-23,2016-09-15,"Private, ltd by shares"
2040,441177,"ASIAN KING COMPANY LIMITED
亞洲錦富有限公司",1993-08-05,2012-12-07,"Private, ltd by shares"
2041,401836,"ASIAN LAKE LIMITED
遠湖有限公司",1993-02-09,,"Private, ltd by shares"
2042,413453,"ASIAN LIGHT CONSULTANT LIMITED
華光顧問有限公司",1993-03-30,,"Private, ltd by shares"
2043,430894,ASIAN LINK LIMITED (d1997-10-24),1993-07-01,1997-10-24,"Private, ltd by shares"
2044,446019,"ASIAN LINK TRADING LIMITED
亞聯貿易有限公司",1993-08-24,1999-05-28,"Private, ltd by shares"
2045,431048,"ASIAN MAID EMPLOYMENT SERVICES LIMITED
駿亞僱傭服務有限公司",1993-07-01,2006-02-24,"Private, ltd by shares"
2046,425440,"ASIAN MARKET LIMITED (d2000-10-27)
東方市塲有限公司",1993-06-08,2000-10-27,"Private, ltd by shares"
2047,426038,"ASIAN MASTER LIMITED (d1997-11-07)
亞洲威龍有限公司",1993-06-08,1997-11-07,"Private, ltd by shares"
2048,447435,ASIAN MEDIA (CHINA) LIMITED,1993-08-31,1998-01-09,"Private, ltd by shares"
2049,425216,"ASIAN MIND HOLDINGS LIMITED
力思集團有限公司",1993-06-03,2015-04-30,"Private, ltd by shares"
2050,447270,ASIAN MOTOR LIMITED,1993-08-31,2005-08-19,"Private, ltd by shares"
2051,449947,ASIAN MUTUAL (OVERSEAS) LIMITED,1993-09-23,1998-01-16,"Private, ltd by shares"
2052,409086,"ASIAN OVERSEAS LIMITED
熙信海外有限公司",1993-03-16,,"Private, ltd by shares"
2053,458792,"ASIAN PACIFIC COMMERCIAL TELECOM LIMITED
亞太商業通訊有限公司",1993-12-28,1999-06-11,"Private, ltd by shares"
2054,399180,"ASIAN PACIFIC COMPANY LIMITED
美亞太平洋有限公司",1993-01-14,,"Private, ltd by shares"
2055,398442,"ASIAN PACIFIC DECORATION & ENGINEERING COMPANY LIMITED
亞洲太和裝飾工程有限公司",1993-01-12,2009-04-30,"Private, ltd by shares"
2056,449360,"ASIAN PACIFIC ENTERPRISE COMPANY LIMITED
亞洲太和企業有限公司",1993-09-16,2009-02-06,"Private, ltd by shares"
2057,459068,"ASIAN PACIFIC PROMOTIONS LIMITED
亞太推廣有限公司",1993-12-30,2005-11-25,"Private, ltd by shares"
2058,414674,ASIAN PARTNER LIMITED,1993-04-07,1997-10-24,"Private, ltd by shares"
2059,446024,"ASIAN PEARL ENTERPRISES LIMITED
寶亞企業有限公司",1993-08-24,2002-05-24,"Private, ltd by shares"
2060,425756,"ASIAN PENINSULA LIMITED
亞洲島有限公司",1993-06-08,2008-08-01,"Private, ltd by shares"
2061,426784,"ASIAN PLAZA PROPERTY LIMITED
東邦置業有限公司",1993-06-10,2002-12-13,"Private, ltd by shares"
2062,398485,"ASIAN POLE LIMITED
遠豪有限公司",1993-01-12,2001-05-18,"Private, ltd by shares"
2063,456461,"ASIAN POWER COTTON LIMITED
通達行棉業有限公司",1993-12-07,1998-01-23,"Private, ltd by shares"
2064,425148,"ASIAN POWER HOLDINGS LIMITED (d1997-10-17)
遠權集團有限公司",1993-06-03,1997-10-17,"Private, ltd by shares"
2065,414228,ASIAN PROPERTY INSURANCE GROUP LIMITED,1993-04-07,2000-12-15,"Private, ltd by shares"
2066,455665,ASIAN PULSE LIMITED,1993-11-30,1997-09-05,"Private, ltd by shares"
2067,439034,"ASIAN RAY COMPANY LIMITED
亞洲捷達有限公司",1993-07-29,2004-06-25,"Private, ltd by shares"
2068,415449,ASIAN RESEARCHERS & CHINA ADVISERS LIMITED,1993-04-15,1997-10-24,"Private, ltd by shares"
2069,406533,"ASIAN RESOURCES DEVELOPMENT LIMITED
泛亞資源發展有限公司",1993-03-04,,"Private, ltd by shares"
2070,444845,"ASIAN RICH LIMITED (d2006-02-17)
鎮華有限公司",1993-08-19,2006-02-17,"Private, ltd by shares"
2071,447648,"ASIAN RISE DEVELOPMENT LIMITED (d2003-03-21)
泰升發展有限公司",1993-09-02,2003-03-21,"Private, ltd by shares"
2072,447651,"ASIAN RISE LIMITED (d2018-09-28)
泰升有限公司",1993-09-02,2018-09-28,"Private, ltd by shares"
2073,439031,"ASIAN SCOPE COMPANY LIMITED
亞洲金運有限公司",1993-07-29,2008-08-27,"Private, ltd by shares"
2074,434698,"ASIAN SHEEN INTERNATIONAL LIMITED (d1996-09-27)
安耀國際有限公司",1993-07-13,1996-09-27,"Private, ltd by shares"
2075,425752,"ASIAN SIGHT LIMITED (d2004-06-04)
亞洲華景有限公司",1993-06-08,2004-06-04,"Private, ltd by shares"
2076,415777,"ASIAN SKY ESTATE LIMITED
華朗地產有限公司",1993-04-20,2006-12-15,"Private, ltd by shares"
2077,430893,ASIAN SQUARE LIMITED (d2002-04-12),1993-07-01,2002-04-12,"Private, ltd by shares"
2078,419932,"ASIAN STANDARD ENTERPRISES LIMITED
宏協企業有限公司",1993-05-11,,"Private, ltd by shares"
2079,413280,"ASIAN STAR (HONG KONG) LIMITED (d1996-03-22)
星亞(香港)有限公司",1993-03-30,1996-03-22,"Private, ltd by shares"
2080,404603,"ASIAN STAR DEVELOPMENT LIMITED
勃亞發展有限公司",1993-02-25,,"Private, ltd by shares"
2081,413158,"ASIAN STAR ENTERPRISES LIMITED (d1997-09-19)
星亞企業有限公司",1993-03-30,1997-09-19,"Private, ltd by shares"
2082,403837,"ASIAN STAR SHIPPING LIMITED (d2006-07-07)
星亞船務有限公司",1993-02-23,2006-07-07,"Private, ltd by shares"
2083,413267,"ASIAN STAR TRADING LIMITED (d1999-02-12)
星亞貿易有限公司",1993-03-30,1999-02-12,"Private, ltd by shares"
2084,427055,"ASIAN SUN COMPANY LIMITED
日強有限公司",1993-06-10,1997-11-07,"Private, ltd by shares"
2085,403457,"ASIAN TECHNOLOGIES LIMITED
熙信科技有限公司",1993-02-18,,"Private, ltd by shares"
2086,455187,"ASIAN TIGER INVESTMENTS LIMITED
亞洲泰來投資有限公司",1993-11-25,2002-06-04,"Private, ltd by shares"
2087,459107,ASIAN TRADE PUBLICATION LIMITED,1993-12-30,2003-12-05,"Private, ltd by shares"
2088,426037,"ASIAN TRADER LIMITED
亞洲華貿有限公司",1993-06-08,,"Private, ltd by shares"
2089,425888,"ASIAN TREASURE LIMITED (d1997-11-21)
亞洲之寶有限公司",1993-06-08,1997-11-21,"Private, ltd by shares"
2090,430875,"ASIAN UNITED INTERNATIONAL TRADING LIMITED
華凌國際貿易有限公司",1993-07-01,2005-06-30,"Private, ltd by shares"
2091,429151,"ASIAN UNITED LIMITED (d2001-02-16)
中亞聯合有限公司",1993-06-23,2001-02-16,"Private, ltd by shares"
2092,440157,"ASIAN WELL INDUSTRIAL LIMITED
亞泰實業有限公司",1993-08-03,,"Private, ltd by shares"
2093,398426,ASIAN WINE ASSOCIATES LIMITED,1993-01-12,2015-07-17,"Private, ltd by shares"
2094,424513,"ASIAN WORLD ENTERPRISES LIMITED
滙亞企業有限公司",1993-06-01,1998-07-03,"Private, ltd by shares"
2095,424394,"ASIAN WORLD INDUSTRIES LIMITED
滙亞實業有限公司",1993-06-01,,"Private, ltd by shares"
2096,424322,"ASIAN WORLD INTERNATIONAL LIMITED (d1997-10-03)
沛亞國際有限公司",1993-06-01,1997-10-03,"Private, ltd by shares"
2097,444991,"ASIAN WORLD INVESTMENTS LIMITED
亞譽投資有限公司",1993-08-19,2005-01-07,"Private, ltd by shares"
2098,428391,"ASIANA PRECISION TECHNICS LIMITED
亞太精密技術有限公司",1993-06-17,1999-03-12,"Private, ltd by shares"
2099,447509,"ASIANCHAMP INVESTMENT LIMITED
捷亞投資有限公司",1993-08-31,1998-01-09,"Private, ltd by shares"
2100,446228,"ASIANCORP INTERNATIONAL LIMITED
合亞國際有限公司",1993-08-24,1999-03-12,"Private, ltd by shares"
2101,445903,ASIANCORP LIMITED,1993-08-24,2011-12-16,"Private, ltd by shares"
2102,446003,"ASIANCORP TRADING LIMITED
合亞貿易有限公司",1993-08-24,1998-09-04,"Private, ltd by shares"
2103,404500,"ASIANERA LIMITED
香港亞洲時代有限公司",1993-02-23,,"Private, ltd by shares"
2104,429267,"ASIANLINK DEVELOPMENT LIMITED
漢年發展有限公司",1993-06-23,,"Private, ltd by shares"
2105,444145,"ASIANWAY LIMITED (d2005-01-28)
隆域有限公司",1993-08-17,2005-01-28,"Private, ltd by shares"
2106,458439,"ASIAPAC CONSULTANTS LIMITED
亞太顧問有限公司",1993-12-23,,"Private, ltd by shares"
2107,431025,"ASIAPAC INVESTMENT LIMITED (d2000-06-30)
亞斯柏投資有限公司",1993-07-01,2000-06-30,"Private, ltd by shares"
2108,414185,ASIAPAC TRADE LIMITED,1993-04-07,1997-10-24,"Private, ltd by shares"
2109,456425,"ASIAPARK MANUFACTURER COMPANY LIMITED
新栢製品有限公司",1993-12-07,2001-09-14,"Private, ltd by shares"
2110,441137,"ASIARAY ADVERTISING MEDIA LIMITED
雅仕維廣告媒體有限公司",1993-08-05,,"Private, ltd by shares"
2111,403669,"ASIARICH DECORATION AND CONSTRUCTION MATERIAL LIMITED
嘉彩裝飾建材有限公司",1993-02-18,,"Private, ltd by shares"
2112,458165,"ASIASINO INTERNATIONAL LIMITED
亞華國際有限公司",1993-12-21,1998-01-23,"Private, ltd by shares"
2113,414761,ASIASOFT SYSTEMS (HK) LIMITED,1993-04-13,2005-12-30,"Private, ltd by shares"
2114,407441,"ASIASONIC INSURANCE AGENCY LIMITED
廸瑞保險代理有限公司",1993-03-09,2003-08-01,"Private, ltd by shares"
2115,414249,ASIATEC-LINK (HONG KONG) LIMITED,1993-04-07,2015-06-05,"Private, ltd by shares"
2116,431033,ASIATECH INTERNATIONAL LIMITED (d2004-06-11),1993-07-01,2004-06-11,"Private, ltd by shares"
2117,430267,ASIATECH PUBLICATIONS LIMITED,1993-06-29,2002-01-11,"Private, ltd by shares"
2118,403940,"ASIATIC ALLIANCE HOLDINGS LIMITED
御隆國際有限公司",1993-02-23,,"Private, ltd by shares"
2119,451450,"ASIATIC BRISTLE MANUFACTURING (HK) LIMITED
亞洲人造毛(香港)有限公司",1993-10-12,2008-12-19,"Private, ltd by shares"
2120,436868,ASIATIC CENTURY INTERNATIONAL MARKETING LIMITED,1993-07-20,2001-12-07,"Private, ltd by shares"
2121,406451,ASIATIC LIMITED (HK),1993-03-04,,"Private, ltd by shares"
2122,400120,"ASIATIC PROFESSIONAL CONSULTANTS LIMITED
亞太專業顧問有限公司",1993-01-20,2000-08-04,"Private, ltd by shares"
2123,450762,"ASIATIC VIEW HOLDINGS LIMITED
亞洲偉業集團有限公司",1993-10-05,2005-09-23,"Private, ltd by shares"
2124,415914,"ASIATIC VIEW INVESTMENT & DEVELOPMENT COMPANY LIMITED
亞洲偉業投資發展有限公司",1993-04-20,1998-10-09,"Private, ltd by shares"
2125,454209,ASIATICORP LIMITED,1993-11-16,,"Private, ltd by shares"
2126,455964,"ASIATOP INDUSTRIES INTERNATIONAL COMPANY LIMITED
宏冠食品國際有限公司",1993-12-02,1998-01-16,"Private, ltd by shares"
