,Reg no.,Name,"Incorp-
orated",Dissolved,Type
289,479217,"ACTION TREND LIMITED (d2018-09-28)
首健有限公司",1994-05-19,2018-09-28,"Private, ltd by shares"
290,479261,"ACTION VIEW LIMITED
首耀有限公司",1994-05-19,2002-10-25,"Private, ltd by shares"
291,475851,"ACTION WORLD LIMITED
首峰有限公司",1994-04-26,2016-11-18,"Private, ltd by shares"
292,465200,"ACTIVE BEST DEVELOPMENT LIMITED (d2008-08-22)
弘興發展有限公司",1994-02-15,2008-08-22,"Private, ltd by shares"
293,464922,"ACTIVE BEST INDUSTRIES LIMITED
弘興實業有限公司",1994-02-08,1999-01-22,"Private, ltd by shares"
294,465005,"ACTIVE BEST INTERNATIONAL LIMITED
弘興國際有限公司",1994-02-08,1997-12-12,"Private, ltd by shares"
295,464921,"ACTIVE BEST LIMITED (d2003-09-05)
弘興有限公司",1994-02-08,2003-09-05,"Private, ltd by shares"
296,488819,"ACTIVE COLLECTION COMPANY LIMITED
藝裳服裝企業有限公司",1994-08-11,2010-08-27,"Private, ltd by shares"
297,467024,ACTIVE CORE COMPANY LIMITED,1994-03-01,2001-05-11,"Private, ltd by shares"
298,481111,"ACTIVE CREATION INVESTMENT LIMITED
顯智投資有限公司",1994-06-07,2005-03-04,"Private, ltd by shares"
299,461767,"ACTIVE FAME LIMITED (d2013-02-22)
卓境有限公司",1994-01-20,2013-02-22,"Private, ltd by shares"
300,465307,"ACTIVE FULL LIMITED (d2001-07-20)
翔浩有限公司",1994-02-15,2001-07-20,"Private, ltd by shares"
301,493893,"ACTIVE GARMENT LIMITED
雅的富製衣廠有限公司",1994-10-14,2006-05-04,"Private, ltd by shares"
302,468967,Active Genius Limited,1994-03-10,,"Private, ltd by shares"
303,465184,"ACTIVE ONE LIMITED
翔榮有限公司",1994-02-08,2002-04-26,"Private, ltd by shares"
304,489149,ACTIVE OT HONG KONG COMPANY LIMITED,1994-08-16,2000-08-04,"Private, ltd by shares"
305,465956,"ACTIVE PLUS LIMITED
翔添有限公司",1994-02-17,,"Private, ltd by shares"
306,489051,"ACTIVE POINT ENTERPRISE LIMITED
毅邦企業有限公司",1994-08-16,,"Private, ltd by shares"
307,489052,"ACTIVE POINT GROUPS LIMITED
毅邦集團有限公司",1994-08-16,2003-06-13,"Private, ltd by shares"
308,477788,"ACTIVE POINT PROPERTIES LIMITED
毅邦地產有限公司",1994-05-10,2007-06-22,"Private, ltd by shares"
309,465320,"ACTIVE SMART LIMITED
翔昇有限公司",1994-02-15,,"Private, ltd by shares"
310,465356,"ACTIVE TOP LIMITED (d1997-04-18)
翔駿有限公司",1994-02-15,1997-04-18,"Private, ltd by shares"
311,460947,"ACTIVE TRADE DEVELOPMENT LIMITED
弘業發展有限公司",1994-01-13,2008-05-30,"Private, ltd by shares"
312,477869,"ACTIVE TRADING & DEVELOPMENT CO., LIMITED
雅迪貿易發展有限公司",1994-05-10,,"Private, ltd by shares"
313,493705,"ACTIVE TRADING COMPANY LIMITED (d2013-05-31)
力生洋行有限公司",1994-10-11,2013-05-31,"Private, ltd by shares"
