,Reg no.,Name,"Incorp-
orated",Dissolved,Type
1530,261959,"BARETECH LIMITED
巴運來有限公司",1989-08-25,2014-11-28,"Private, ltd by shares"
1531,260001,BARFAX LIMITED (d1997-08-22),1989-07-28,1997-08-22,"Private, ltd by shares"
1532,260720,"BARGON INDUSTRIAL COMPANY LIMITED
霸剛實業有限公司",1989-08-08,1995-12-22,"Private, ltd by shares"
1533,252428,BARING BROTHERS & WU LIMITED,1989-05-12,1996-12-10,"Private, ltd by shares"
1534,244692,BARINGO INVESTMENTS LIMITED,1989-03-07,2003-08-22,"Private, ltd by shares"
1535,268567,BARIWIN LIMITED,1989-12-21,,"Private, ltd by shares"
1536,268566,BARIWORTH LIMITED,1989-12-21,,"Private, ltd by shares"
1537,264027,BARKING COMPANY LIMITED,1989-10-06,1995-11-17,"Private, ltd by shares"
1538,246592,"BARLEY DEVELOPMENT LIMITED
培惠發展有限公司",1989-03-22,1997-01-10,"Private, ltd by shares"
1539,264329,BARNESTON LIMITED,1989-10-13,,"Private, ltd by shares"
1540,241722,BARNSLEY HALL LIMITED,1989-02-14,1997-05-30,"Private, ltd by shares"
1541,264025,BARNSLEY LIMITED (d1995-11-17),1989-10-06,1995-11-17,"Private, ltd by shares"
1542,259999,BARONFIELD LIMITED (d1997-08-22),1989-07-28,1997-08-22,"Private, ltd by shares"
1543,248795,"BAROTEX LIMITED
波士活有限公司",1989-04-14,,"Private, ltd by shares"
1544,263039,"BAROWAY LIMITED
亮山有限公司",1989-09-14,2002-02-15,"Private, ltd by shares"
1545,268418,"BARQUE ENGINEERING LIMITED
百翹工程有限公司",1989-12-19,,"Private, ltd by shares"
1546,241139,BARRINGTON PROPERTIES LIMITED (d2000-11-29),1989-02-02,2000-11-29,"Private, ltd by shares"
1547,238163,"BARRON INDUSTRIAL LIMITED
偉能實業有限公司",1989-01-10,1999-06-01,"Private, ltd by shares"
1548,259980,"BARROWIN LIMITED
豪宏有限公司",1989-07-28,1997-08-22,"Private, ltd by shares"
1549,268938,"BARRYSON LIMITED
巴利成有限公司",1989-12-29,1999-03-26,"Private, ltd by shares"
1550,263352,"BARRYSON UNION (H.K.) LIMITED
懷信(香港)有限公司",1989-09-26,,"Private, ltd by shares"
1551,244286,"BARSON DEVELOPMENT LIMITED
霸新發展有限公司",1989-03-03,,"Private, ltd by shares"
1552,256059,"BARTAR ELECTRONICS LIMITED
全達電子有限公司",1989-06-23,2003-11-28,"Private, ltd by shares"
1553,257498,BARTHIAN LIMITED,1989-07-07,2003-11-28,"Private, ltd by shares"
1554,242345,"BARTINAL LIMITED
凱皓製衣有限公司",1989-02-17,2010-01-29,"Private, ltd by shares"
1555,250740,BARTLEY COMPANY LIMITED,1989-05-02,1997-12-12,"Private, ltd by shares"
1556,242150,"BARUDAN COMPUTERIZED MACHINERY (CHINA) COMPANY LIMITED
百靈達電腦機械(中國)有限公司",1989-02-17,2010-01-15,"Private, ltd by shares"
1557,268625,"BARVO ENGINEERING & CONSTRUCTION COMPANY LIMITED
建盈建築工程有限公司",1989-12-21,1996-07-12,"Private, ltd by shares"
1558,249537,"BARWICK INVESTMENT LIMITED
博惟投資有限公司",1989-04-21,1997-06-27,"Private, ltd by shares"
1559,248584,"BARWIN METAL CO., LIMITED
巴偉五金有限公司",1989-04-11,,"Private, ltd by shares"
1560,263168,"BASE FIELD FINANCE LIMITED
聯年財務有限公司",1989-09-22,,"Private, ltd by shares"
1561,266570,"BASE FIELD LIMITED
仕超有限公司",1989-11-17,,"Private, ltd by shares"
1562,265553,"BASE PRODUCTION LIMITED
制作基地有限公司",1989-11-03,,"Private, ltd by shares"
1563,252715,BASENTO COMPANY LIMITED,1989-05-19,2008-01-18,"Private, ltd by shares"
1564,262856,"BASIC LINE DEVELOPMENT LIMITED
基本發展有限公司",1989-09-12,1997-01-24,"Private, ltd by shares"
1565,266287,BASIC STORES LIMITED,1989-11-14,2006-04-13,"Private, ltd by shares"
1566,238373,"BASICWELL LIMITED
博文有限公司",1989-01-10,1999-08-13,"Private, ltd by shares"
1567,244437,BASMINE ART LIMITED,1989-03-07,1997-04-25,"Private, ltd by shares"
1568,244944,BASMINE BELL LIMITED,1989-03-10,,"Private, ltd by shares"
1569,244942,BASMINE FREE LIMITED,1989-03-10,1997-06-27,"Private, ltd by shares"
1570,244941,BASMINE VIEW LIMITED,1989-03-10,,"Private, ltd by shares"
1571,249659,BASONJE SYSTEMS LIMITED,1989-04-21,1997-06-27,"Private, ltd by shares"
1572,266360,BASSIANUS ENTERPRISES LIMITED,1989-11-14,1997-02-21,"Private, ltd by shares"
1573,266855,BATAM MARKETING & MANAGEMENT CONSULTANTS LIMITED,1989-11-24,2006-04-21,"Private, ltd by shares"
1574,253258,BATCHIN LIMITED,1989-05-26,1995-02-10,"Private, ltd by shares"
1575,261993,"BATECH DEVELOPMENT LIMITED
巴達發展有限公司",1989-08-25,1997-02-21,"Private, ltd by shares"
1576,262482,BATEMAN CHAPMAN (HONG KONG) LIMITED,1989-09-01,1997-07-25,"Private, ltd by shares"
1577,265801,"BATEY BURN LIMITED
貝特伯恩有限公司",1989-11-03,2012-02-17,"Private, ltd by shares"
1578,263434,"BATEY CONSULTANTS (HK) LIMITED
百帝顧問(香港)有限公司",1989-09-26,2008-05-30,"Private, ltd by shares"
1579,243960,BATT MASTERSONN LIMITED,1989-03-03,1996-01-24,"Private, ltd by shares"
1580,251473,BAUHAUS INTERNATIONAL LIMITED,1989-05-05,,"Private, ltd by shares"
1581,263123,"BAUHINIA GIFT SHOP LIMITED
紫荊花精品有限公司",1989-09-19,2002-08-09,"Private, ltd by shares"
1582,259822,"BAVILLON A. D. LIMITED
百域製作有限公司",1989-07-28,1999-01-29,"Private, ltd by shares"
1583,251721,"BAY GLORY INTERNATIONAL LIMITED
港榮國際企業有限公司",1989-05-09,2005-05-13,"Private, ltd by shares"
1584,250452,BAY WREATH LIMITED,1989-04-28,2000-06-16,"Private, ltd by shares"
1585,248637,BAYASHI TRADING LIMITED,1989-04-14,1995-10-27,"Private, ltd by shares"
1586,261754,BAYFORD LIMITED (d1997-08-08),1989-08-22,1997-08-08,"Private, ltd by shares"
1587,250879,"BAYSHORE - PACIFIC CONSULTANTS, LIMITED
北軒有限公司",1989-05-02,2014-07-18,"Private, ltd by shares"
1588,258742,BAYSHORE PACIFIC LEISURE SERVICES LIMITED,1989-07-21,2005-07-22,"Private, ltd by shares"
1589,253686,"BAYSVILLE DEVELOPMENT LIMITED
拱寶發展有限公司",1989-05-26,2001-04-12,"Private, ltd by shares"
1590,252260,BAYVIEW HOLDINGS LIMITED,1989-05-12,,"Private, ltd by shares"
1591,259830,BAZ BAGS (HONG KONG) LIMITED,1989-07-28,2004-12-31,"Private, ltd by shares"
1592,254815,BB PRODUCTS CHINA LIMITED,1989-06-09,2017-02-03,"Private, ltd by shares"
1593,262634,"BBB DEVELOPMENT LIMITED
一哥發展有限公司",1989-09-06,1997-03-14,"Private, ltd by shares"
1594,237934,BBI COMPANY LIMITED (d1997-06-27),1989-01-06,1997-06-27,"Private, ltd by shares"
1595,238165,"BBL INDUSTRIAL LIMITED
業如實業有限公司",1989-01-10,1997-04-25,"Private, ltd by shares"
1596,268660,BBM & A COMPANY LIMITED,1989-12-21,1997-06-27,"Private, ltd by shares"
1597,268243,"BC INDUSTRIES LIMITED
大員工業股份有限公司",1989-12-15,,"Private, ltd by shares"
1598,260952,BEACHSHUM INVESTMENT LIMITED,1989-08-11,,"Private, ltd by shares"
1599,251387,BEACHWOOD TRADING LIMITED,1989-05-05,2003-09-05,"Private, ltd by shares"
1600,258083,"BEAMLAND INDUSTRIES LIMITED
協章實業有限公司",1989-07-14,1999-03-12,"Private, ltd by shares"
1601,250869,"BEAR HEART LIMITED
強羚有限公司",1989-05-02,2003-01-24,"Private, ltd by shares"
1602,248555,BEAR INVESTMENTS LIMITED (d2003-12-19),1989-04-11,2003-12-19,"Private, ltd by shares"
1603,262047,"BEASON TRADING CO., LIMITED
必生貿易有限公司",1989-08-30,,"Private, ltd by shares"
1604,243342,"BEAT WAY LIMITED
近豪有限公司",1989-02-24,2004-10-08,"Private, ltd by shares"
1605,247728,"BEATIS INVESTMENT LIMITED
比德斯投資有限公司",1989-04-04,2005-12-23,"Private, ltd by shares"
1606,247727,"BEATIS TRADING LIMITED
比德斯貿易有限公司",1989-04-04,2005-12-23,"Private, ltd by shares"
1607,257497,BEATSON COMPANY LIMITED,1989-07-07,2000-10-19,"Private, ltd by shares"
1608,238358,BEATTIE-WHALLEY ASSOCIATES LIMITED,1989-01-10,1997-05-16,"Private, ltd by shares"
1609,266876,"BEAU MONDE PROFESSIONALS LIMITED
精傑顧問有限公司",1989-11-24,1997-02-21,"Private, ltd by shares"
1610,258537,"BEAUCHAMP CONSULTANTS LIMITED
喜卓顧問有限公司",1989-07-18,1997-08-22,"Private, ltd by shares"
1611,251273,"BEAUCHAMP INTERNATIONAL DEVELOPMENT LIMITED
標祥國際發展有限公司",1989-05-05,,"Private, ltd by shares"
1612,251655,"BEAUCOM DEVELOPMENT LIMITED
寶旭發展有限公司",1989-05-09,2005-11-20,"Private, ltd by shares"
1613,248116,"BEAUT SCENE LIMITED
彪先有限公司",1989-04-07,1994-08-26,"Private, ltd by shares"
1614,253673,"BEAUTICHAIN DEVELOPMENT LIMITED
詠開發展有限公司",1989-05-26,1997-02-21,"Private, ltd by shares"
