,Reg no.,Name,"Incorp-
orated",Dissolved,Type
3638,2421157,"Amadeus and Sherlock Limited
莫斐然有限公司",2016-08-29,2020-06-19,"Private, ltd by shares"
3639,2356877,"AMAL TRADING CO., LIMITED",2016-04-08,,"Private, ltd by shares"
3640,2385312,"Amalee (HK) Holding Limited
艾瑪琳(香港)控股有限公司",2016-06-02,,"Private, ltd by shares"
3641,2388767,Amalfi Limited,2016-06-10,,"Private, ltd by shares"
3642,2424335,"Amalfi Trading HK Co., Limited
阿馬爾菲貿易香港有限公司",2016-09-06,,"Private, ltd by shares"
3643,2446321,AMALTHEA INTERNATIONAL LIMITED,2016-11-03,,"Private, ltd by shares"
3644,2413403,AMAN CEPAT PTE LIMITED,2016-08-10,,"Private, ltd by shares"
3645,2455140,AMANAH EXCHANGE CO LIMITED,2016-11-23,,"Private, ltd by shares"
3646,2364019,AMANAT INTERNATIONAL CORPORATION LIMITED,2016-04-18,2020-01-10,"Private, ltd by shares"
3647,2347864,AMANCIO LIMITED (HK),2016-03-11,,"Private, ltd by shares"
3648,2446879,"AMANCY SUNSHINE CRAFT CO., LIMITED",2016-11-04,,"Private, ltd by shares"
3649,2411343,"AMANDA (HONGKONG) TRADE CO., LIMITED
阿曼達(香港)貿易有限公司",2016-08-04,,"Private, ltd by shares"
3650,2365390,"AMANDA STAINLESS CO., LIMITED
阿曼達金屬製品有限公司",2016-04-20,,"Private, ltd by shares"
3651,2460288,"AMANDA TRADING (HONGKONG) CO., LIMITED
阿曼達貿易(香港)有限公司",2016-12-05,2019-06-14,"Private, ltd by shares"
3652,2452729,Amandarin Design Limited,2016-11-17,,"Private, ltd by shares"
3653,2362218,AMANE ADVISORS HONG KONG LIMITED,2016-04-15,,"Private, ltd by shares"
3654,2441036,"AMANN MOTORS LIMITED
燊隆汽車有限公司",2016-10-24,,"Private, ltd by shares"
3655,2387859,"AMANO INTERNATIONAL CO., LIMITED",2016-06-08,2019-03-29,"Private, ltd by shares"
3656,2432082,AMAR ELECTRONICS LIMITED,2016-09-27,,"Private, ltd by shares"
3657,2429699,AMAR Enterprise Limited,2016-09-21,,"Private, ltd by shares"
3658,2455845,"AMARANTH LIMITED (HK)
璧海科技有限公司",2016-11-24,,"Private, ltd by shares"
3659,2469947,Amaranthine Blooms Limited,2016-12-29,2019-11-01,"Private, ltd by shares"
3660,2387591,"Amaranthine Group, Limited",2016-06-07,2017-12-08,"Private, ltd by shares"
3661,2372416,"Amarantine International Company Limited
薰陶國際有限公司",2016-05-05,2017-09-15,"Private, ltd by shares"
3662,2340904,"Amare Foundation Limited
珍愛和平基金會有限公司",2016-02-18,,Ltd by guarantee
3663,2399843,Amare Trading Limited,2016-07-07,2019-03-01,"Private, ltd by shares"
3664,2364890,AMARI LIMITED (HK),2016-04-20,,"Private, ltd by shares"
3665,2379268,"Amarillo Biosciences (Hong Kong) Limited
康華醫藥集團股份(香港)有限公司",2016-05-19,2019-12-27,"Private, ltd by shares"
3666,2415091,"AMARLEY CLOTHING TRADING CO., LIMITED
阿莫雷服裝貿易有限公司",2016-08-12,2019-05-03,"Private, ltd by shares"
3667,2376919,"Amas E&M Limited
艾森機電工程有限公司",2016-05-16,2018-08-24,"Private, ltd by shares"
3668,2454062,"Amas Holding Limited (HK)
艾森集團有限公司",2016-11-21,2018-12-21,"Private, ltd by shares"
3669,2464934,AMAS INTERNATIONAL ENGINEERING LIMITED,2016-12-15,,"Private, ltd by shares"
3670,2392691,"AMASE DESIGN LIMITED
雅美思設計有限公司",2016-06-20,,"Private, ltd by shares"
3671,2344520,"Amase Entertainment Limited
嘉凡娛樂有限公司",2016-03-02,,"Private, ltd by shares"
3672,2329775,"AMASS CHINA LIMITED
阿瑪施有限公司",2016-01-12,,"Private, ltd by shares"
