,Reg no.,Name,"Incorp-
orated",Dissolved,Type
4232,460512,"CATHAY GARMENT LIMITED
國泰製衣有限公司",1994-01-11,1997-12-05,"Private, ltd by shares"
4233,488026,"CATHAY MERCANTILE (OVERSEAS) LIMITED
東建海外發展有限公司",1994-08-09,2005-08-05,"Private, ltd by shares"
4234,484226,"CATHAY PACIFIC AIRPORT DEVELOPMENT AND SERVICES LIMITED
國泰機場發展有限公司",1994-07-05,2000-10-27,"Private, ltd by shares"
4235,490557,"CATHAY PHARMACEUTICALS AND CHEMICALS COMPANY LIMITED
國泰醫葯化工有限公司",1994-09-06,2004-03-05,"Private, ltd by shares"
4236,493922,"CATHAY SECURITY LIMITED
東方証券有限公司",1994-10-14,1997-12-12,"Private, ltd by shares"
4237,476800,"CATHAY TIMEPIECES (HOLDING) LIMITED (d2006-01-06)
金利來(環球)時計控股有限公司",1994-05-03,2006-01-06,"Private, ltd by shares"
4238,491381,CATHERINE MAUDSLEY LIMITED,1994-09-15,,"Private, ltd by shares"
4239,460926,"CATHERY INDUSTRIAL (HK) LIMITED
卡德維實業(香港)有限公司",1994-01-13,2001-09-14,"Private, ltd by shares"
4240,468297,"CATHORN LIMITED
騏豐有限公司",1994-03-08,1998-03-20,"Private, ltd by shares"
4241,477119,"CATHY PRIVATE NURSING AGENCY LIMITED
愛心私家看護有限公司",1994-05-03,,"Private, ltd by shares"
4242,475770,"CATILE WATCH COMPANY LIMITED
時達鐘錶有限公司",1994-04-26,2010-08-20,"Private, ltd by shares"
4243,480801,CATTAI COMPANY LIMITED,1994-06-02,1997-08-08,"Private, ltd by shares"
4244,479397,"CAUDI-A GARMENT TRADING COMPANY LIMITED
歌狄成衣貿易有限公司",1994-05-24,2006-01-13,"Private, ltd by shares"
4245,479585,"CAUSEWAY GLASSWORK COMPANY LIMITED
高士威玻璃有限公司",1994-05-24,2005-03-04,"Private, ltd by shares"
4246,486529,"CAVAN CONCEPT (CHINA) LIMITED
靈獅創建(中國)有限公司",1994-07-28,1998-09-04,"Private, ltd by shares"
4247,485338,"CAVAN PACIFIC BUSINESS FORMS LIMITED
卡凡電腦表格有限公司",1994-07-19,2002-08-09,"Private, ltd by shares"
4248,496948,CAVEAT ENTERPRISE LIMITED,1994-11-10,1998-10-13,"Private, ltd by shares"
4249,500866,"CAVEMEN LIMITED (d1998-09-11)
祈人有限公司",1994-12-15,1998-09-11,"Private, ltd by shares"
4250,498777,"CAVENIC LIMITED
金運力有限公司",1994-11-29,2003-10-24,"Private, ltd by shares"
