,Reg no.,Name,"Incorp-
orated",Dissolved,Type
4312,522947,"CHINA PACIFIC MANAGEMENT LIMITED
中協管理有限公司",1995-08-15,,"Private, ltd by shares"
4313,514111,"CHINA PACKING (HONG KONG) INVESTMENTS LIMITED
中包(香港)投資有限公司",1995-05-11,2004-11-05,"Private, ltd by shares"
4314,513709,"CHINA PACKING MACHINE COMPANY LIMITED
中華包裝工業有限公司",1995-05-09,2005-05-13,"Private, ltd by shares"
4315,508172,"CHINA PALACE HOLDINGS LIMITED
中麗集團有限公司",1995-03-16,2000-05-23,"Private, ltd by shares"
4316,507035,"CHINA PAPER MERCHANTS (HK) LIMITED
中國紙商有限公司",1995-03-07,2000-05-02,"Private, ltd by shares"
4317,524124,"CHINA PARAMOUNT (H.K.) LIMITED
華鼎(香港)有限公司",1995-08-29,1999-03-12,"Private, ltd by shares"
4318,508873,"CHINA PARKING MANAGEMENT LIMITED
中華停車場管理有限公司",1995-03-23,2008-08-29,"Private, ltd by shares"
4319,533944,CHINA PARTNERS LIMITED,1995-12-19,,"Private, ltd by shares"
4320,532438,"CHINA PATH TRADING LIMITED
中霸貿易有限公司",1995-11-30,2000-09-22,"Private, ltd by shares"
4321,508222,"CHINA PEACE HOLDINGS LIMITED
中琨集團有限公司",1995-03-16,2009-08-07,"Private, ltd by shares"
4322,502834,"CHINA PEARL HOLDINGS LIMITED (d2008-02-15)
中麟集團有限公司",1995-01-12,2008-02-15,"Private, ltd by shares"
4323,508217,"CHINA PERFECT HOLDINGS LIMITED (d2004-01-02)
中敏集團有限公司",1995-03-16,2004-01-02,"Private, ltd by shares"
4324,523571,"CHINA PETROLEUM (PNG) HONG KONG LIMITED
中國石油(PNG)香港有限公司",1995-08-22,2000-12-08,"Private, ltd by shares"
4325,529679,"CHINA PIONEER INTERNATIONAL (H.K.) LIMITED
新中利國際(香港)有限公司",1995-11-03,,"Private, ltd by shares"
4326,534734,"CHINA PIPE-RUNNING GAS-PETROLEUM HOLDINGS CO., LIMITED
中國管道燃氣控股有限公司",1995-12-28,2000-11-17,"Private, ltd by shares"
4327,517952,"CHINA PIPELINES TECHNOLOGY NETWORK COMPANY LIMITED
中國管道科技網絡股份有限公司",1995-06-15,,"Private, ltd by shares"
4328,531249,"CHINA PLAY SERVICES LIMITED
中國智通有限公司",1995-11-21,,"Private, ltd by shares"
4329,508219,"CHINA POINT HOLDINGS LIMITED (d2001-01-12)
中旋集團有限公司",1995-03-16,2001-01-12,"Private, ltd by shares"
4330,532569,"CHINA POTASH SALT EXPLOITING CO., LIMITED
中國鉀鹽開發有限公司",1995-11-30,2002-12-20,"Private, ltd by shares"
4331,519286,"CHINA POWER INDUSTRIES LIMITED
華權實業有限公司",1995-07-04,2004-12-10,"Private, ltd by shares"
4332,530056,"CHINA PRINCIPAL INVESTMENT CONSULTANCY LIMITED
華宗投資顧問有限公司",1995-11-07,2003-10-17,"Private, ltd by shares"
4333,533952,"CHINA PRODUCTS & FASHION BAG MANUFACTURING LIMITED
嘉富洋行有限公司",1995-12-19,,"Private, ltd by shares"
4334,506314,"CHINA PROFIT INTERNATIONAL DEVELOPMENT LIMITED
中利國際發展有限公司",1995-02-28,2011-05-27,"Private, ltd by shares"
4335,507854,"CHINA PROGRAMME SYNDICATION COMPANY LIMITED
卓寶媒介代理有限公司",1995-03-14,2005-12-16,"Private, ltd by shares"
4336,502983,"CHINA PROGRESS CAPITAL LIMITED
中豪融資有限公司",1995-01-17,2008-06-06,"Private, ltd by shares"
4337,502984,"CHINA PROGRESS INVESTMENT LIMITED (d2008-06-06)
中豪投資有限公司",1995-01-17,2008-06-06,"Private, ltd by shares"
