,Reg no.,Name,"Incorp-
orated",Dissolved,Type
1378,1133210,"AEGEAN INTERNATIONAL TRADE CO., LIMITED
愛琴海國際貿易有限公司",2007-05-17,2017-07-21,"Private, ltd by shares"
1379,1164590,"AEGEAN LIMITED
愛琴有限公司",2007-09-05,,"Private, ltd by shares"
1380,1189901,"Aegean Sea International Logistics Limited
愛擎海國際物流有限公司",2007-11-29,2013-01-25,"Private, ltd by shares"
1381,1178471,"AEGINA INTERNATIONAL LIMITED
艾秦國際有限公司",2007-10-24,2010-12-31,"Private, ltd by shares"
1382,1173304,"AEGIS CONSULTING COMPANY LIMITED
國士顧問有限公司",2007-10-08,2009-03-20,"Private, ltd by shares"
1383,1155996,"AEGIS DISTRIBUTION SYSTEM CO., LIMITED
民基系統香港有限公司",2007-08-06,2019-04-26,"Private, ltd by shares"
1384,1139609,"AEGIS GARMENT COMPANY LIMITED
喜寶製衣有限公司",2007-06-08,2012-09-14,"Private, ltd by shares"
1385,1138997,AEGIS GOLDMINE LIMITED,2007-06-06,2010-04-01,"Private, ltd by shares"
1386,1119019,"AEGIS MECHANICAL SEAL CO., LIMITED
天盾機械密封件有限公司",2007-03-28,,"Private, ltd by shares"
1387,1116050,AEKA INVEST CORPORATION LIMITED,2007-03-19,2011-10-07,"Private, ltd by shares"
1388,1105485,AEKA INVEST LIMITED,2007-01-26,,"Private, ltd by shares"
1389,1121116,AEKI Home Things Limited,2007-04-04,2012-05-04,"Private, ltd by shares"
1390,1190288,"AEL ENVIRONMENTAL RESOURCES LIMITED
聯誼環境資源有限公司",2007-11-29,,"Private, ltd by shares"
1391,1163584,"AEL INTERNATIONAL GROUP LIMITED
雅尚國際集團有限公司",2007-08-31,,"Private, ltd by shares"
1392,1129571,"AELLEX (HK) LIMITED
香港澳力氏有限公司",2007-05-04,2018-09-07,"Private, ltd by shares"
1393,1144610,AELPROP LIMITED,2007-06-27,2010-01-22,"Private, ltd by shares"
1394,1118856,"AEMAXX CO., LIMITED",2007-03-28,,"Private, ltd by shares"
1395,1196270,AENAS (HK) LIMITED,2007-12-18,,"Private, ltd by shares"
1396,1162111,"AEONE HOLDING GROUP (HK) CO., LIMITED
安邦控股集團(香港)有限公司",2007-08-28,2019-05-17,"Private, ltd by shares"
1397,1197249,AEONTEK COMPONENTS ASIA CO LIMITED,2007-12-20,2012-05-25,"Private, ltd by shares"
