,Reg no.,Name,"Incorp-
orated",Dissolved,Type
3901,98952,ELKINGHALL LIMITED,1981-06-09,1986-10-08,"Private, ltd by shares"
3902,107263,"ELLEN BOGEN INDUSTRIAL COMPANY LIMITED
寶根實業有限公司",1981-12-31,1996-07-19,"Private, ltd by shares"
3903,102974,ELLENDALE LIMITED (d1989-02-10),1981-09-16,1989-02-10,"Private, ltd by shares"
3904,105164,"ELLFORD LIMITED
幸晴有限公司",1981-11-06,2003-10-10,"Private, ltd by shares"
3905,100952,"ELLICOTT COMPANY LIMITED
易利高有限公司",1981-07-28,1996-05-24,"Private, ltd by shares"
3906,99171,ELLINGWELL LIMITED,1981-06-12,1996-06-07,"Private, ltd by shares"
3907,106433,"ELLON INDUSTRIAL COMPANY LIMITED
藝廊實業有限公司",1981-12-08,1992-11-26,"Private, ltd by shares"
3908,94399,ELLSWORTH PETROLEUM LIMITED,1981-03-06,2001-06-01,"Private, ltd by shares"
3909,95762,"ELMAN COMPANY LIMITED
巨萬有限公司",1981-04-03,1996-12-27,"Private, ltd by shares"
3910,105370,ELMBRIDGE LIMITED (d1996-07-19),1981-11-13,1996-07-19,"Private, ltd by shares"
3911,94818,ELMER INVESTMENT LIMITED,1981-03-13,2004-11-05,"Private, ltd by shares"
3912,97884,ELMONDAR COMPANY LIMITED,1981-05-15,1998-03-20,"Private, ltd by shares"
3913,95859,ELMSLEIGH LIMITED (d2007-06-15),1981-04-08,2007-06-15,"Private, ltd by shares"
3914,103163,ELMSTONE LIMITED (d1989-12-19),1981-09-22,1989-12-19,"Private, ltd by shares"
3915,100867,"ELPHINSTONE INVESTMENT LIMITED
愛興登置業有限公司",1981-07-24,2019-08-16,"Private, ltd by shares"
3916,101488,ELSDON TRADING & INVESTMENT LIMITED,1981-08-11,1996-06-07,"Private, ltd by shares"
3917,102576,ELSTRO COMPANY LIMITED,1981-09-04,1992-02-28,"Private, ltd by shares"
3918,102977,ELTACO TRADING LIMITED,1981-09-16,1996-04-26,"Private, ltd by shares"
3919,97120,ELTERFORD LIMITED,1981-05-01,1993-03-26,"Private, ltd by shares"
3920,96490,ELVASTON LIMITED (d1994-02-25),1981-04-22,1994-02-25,"Private, ltd by shares"
3921,101666,ELVEE LIMITED (d1999-03-12),1981-08-14,1999-03-12,"Private, ltd by shares"
3922,96485,ELVERSON LIMITED,1981-04-22,,"Private, ltd by shares"
3923,94039,ELYSEES AIR CHARTER LIMITED,1981-02-27,1989-06-02,"Private, ltd by shares"
3924,104764,EM PEE COMPANY (H.K.) LIMITED,1981-10-30,1996-05-31,"Private, ltd by shares"
3925,100399,EMAG RESOURCES LIMITED,1981-07-14,1996-01-26,"Private, ltd by shares"
3926,103891,EMAG TRADE SERVICES (HK) LIMITED,1981-10-09,,"Private, ltd by shares"
3927,99025,"EMANEY TEXTILE LIMITED
億萬利布業有限公司",1981-06-12,1996-06-07,"Private, ltd by shares"
3928,101637,EMANUEL LIMITED (d1996-03-29),1981-08-14,1996-03-29,"Private, ltd by shares"
3929,99431,EMAS MINING COMPANY LIMITED,1981-06-19,2007-11-02,"Private, ltd by shares"
