,Reg no.,Name,"Incorp-
orated",Dissolved,Type
805,108173,BANGKOK MOTOR WORKS COMPANY LIMITED,1982-01-22,1989-10-05,"Private, ltd by shares"
806,115481,"BANGO COMPANY LIMITED
博浩有限公司",1982-08-17,,"Private, ltd by shares"
807,118514,BANHINIA LIMITED,1982-11-09,2003-10-10,"Private, ltd by shares"
808,115249,BANNER GELATIN PRODUCTS LIMITED,1982-08-13,1985-07-05,"Private, ltd by shares"
809,113245,BANTAY INVESTMENTS COMPANY LIMITED,1982-06-15,2005-11-04,"Private, ltd by shares"
810,109895,BANVILLA COMPANY LIMITED,1982-03-16,1996-09-27,"Private, ltd by shares"
811,108066,"BAO ENTERPRISES LIMITED
鮑勃企業有限公司",1982-01-22,1998-04-24,"Private, ltd by shares"
812,109202,BAONING SHIPPING LIMITED,1982-02-26,1994-07-20,"Private, ltd by shares"
813,117491,BARBARLAND LIMITED,1982-10-08,1999-05-14,"Private, ltd by shares"
814,119406,BARCLAYS CORPORATION N.Z. LIMITED,1982-12-03,2006-11-14,"Private, ltd by shares"
815,114219,"BARCOLO INVESTMENT COMPANY LIMITED
昌冠投資有限公司",1982-07-09,1987-03-19,"Private, ltd by shares"
816,117154,"BARCON COMPANY LIMITED
栢幹有限公司",1982-10-01,1996-07-26,"Private, ltd by shares"
817,114799,"BARCOO ENTERPRISES LIMITED
高筠企業有限公司",1982-07-27,2004-02-20,"Private, ltd by shares"
818,117436,"BARDALEY LIMITED
人人樂投資有限公司",1982-10-08,1996-06-28,"Private, ltd by shares"
819,108353,"BARDO AGENCIES (H.K.) LIMITED
霸度(香港)有限公司",1982-02-02,1996-05-10,"Private, ltd by shares"
820,113460,"BARENTS FUR COMPANY LIMITED
百利皮草有限公司",1982-06-18,1989-09-14,"Private, ltd by shares"
821,111713,BARENTZ LIMITED,1982-05-04,1998-09-11,"Private, ltd by shares"
822,112409,"BARGELLO LIMITED
雅翹有限公司",1982-05-21,1990-08-05,"Private, ltd by shares"
823,116140,BARGUARD REINSURANCE COMPANY LIMITED,1982-09-03,1992-06-30,"Private, ltd by shares"
824,110348,BARIN LIMITED (d1983-10-07),1982-03-30,1983-10-07,"Private, ltd by shares"
825,117492,BARMALAND LIMITED,1982-10-08,1996-06-28,"Private, ltd by shares"
826,118255,"BARNATE ENTERPRISES COMPANY LIMITED
卡利新企業有限公司",1982-11-02,1996-10-08,"Private, ltd by shares"
827,118963,BARNSTON TRADING LIMITED,1982-11-19,1996-06-28,"Private, ltd by shares"
828,118464,BARO SHIPPING LIMITED,1982-11-05,1995-04-23,"Private, ltd by shares"
829,109215,"BARON CONTRACTORS LIMITED
柏略建築有限公司",1982-02-26,2009-07-24,"Private, ltd by shares"
830,112171,BARONG MARINE SERVICES (H.K.) LIMITED,1982-05-14,1987-02-27,"Private, ltd by shares"
831,114465,"BARONNO LIMITED
保龍來有限公司",1982-07-16,1996-08-16,"Private, ltd by shares"
832,113412,BARRA INVESTMENTS LIMITED,1982-06-18,2007-01-26,"Private, ltd by shares"
833,110703,BARRACK MANUFACTURING LIMITED,1982-04-07,1996-02-23,"Private, ltd by shares"
834,111408,BARRINGFOLD LIMITED,1982-04-27,1988-03-16,"Private, ltd by shares"
835,117132,BARRYFIELD COMPANY LIMITED,1982-10-01,1999-06-11,"Private, ltd by shares"
836,118106,BART ENTERPRISES CO. LIMITED,1982-10-27,1996-07-26,"Private, ltd by shares"
837,109288,"BART WOR BUSINESS AFFAIRS ASSOCIATION LIMITED (THE)
八和工商事務聯會有限公司",1982-03-02,1999-02-26,Ltd by guarantee
838,116073,BARTER EXCHANGE SYSTEM LIMITED,1982-09-03,1990-02-23,"Private, ltd by shares"
839,120271,"BARTERLY COMPANY LIMITED
保祥發有限公司",1982-12-31,,"Private, ltd by shares"
840,111134,"BARTIS WORKS & TRADING COMPANY LIMITED
栢廸斯工程貿易有限公司",1982-04-20,,"Private, ltd by shares"
841,116386,BARTLEMAN COMPANY LIMITED,1982-09-10,,"Private, ltd by shares"
842,113433,BARUFFALDI (H.K.) LIMITED,1982-06-18,1996-07-19,"Private, ltd by shares"
843,115354,"BASE VIEW LIMITED
敬觀有限公司",1982-08-13,1993-03-18,"Private, ltd by shares"
844,115347,"BASEYARD LIMITED
翩溢有限公司",1982-08-13,,"Private, ltd by shares"
845,119361,BASIC CAPITAL DEVELOPMENT LIMITED,1982-11-30,1996-08-02,"Private, ltd by shares"
846,115355,"BASIC FUND LIMITED (d1997-08-22)
礎資有限公司",1982-08-13,1997-08-22,"Private, ltd by shares"
847,110620,BASIC MICROCOMPUTER LIMITED,1982-04-07,2002-05-17,"Private, ltd by shares"
848,117242,"BASICOBOL DATA SERVICES LIMITED
捷達電腦有限公司",1982-10-01,1989-12-22,"Private, ltd by shares"
849,117802,BASS RESOURCES LIMITED,1982-10-19,1996-08-16,"Private, ltd by shares"
850,115496,BASSISHAW LIMITED,1982-08-17,1996-07-26,"Private, ltd by shares"
851,119969,"BAU-XI FINE ARTS LIMITED
博施美學有限公司",1982-12-17,1996-07-05,"Private, ltd by shares"
852,115321,"BAUHINIA PAINTS MANUFACTURING LIMITED
大中漆廠有限公司",1982-08-13,,"Private, ltd by shares"
853,108676,"BAX GLOBAL LIMITED (d2011-09-09)
伯靈頓全球有限公司",1982-02-12,2011-09-09,"Private, ltd by shares"
854,107533,"BAY VIEW DEVELOPMENT COMPANY LIMITED
榮望發展有限公司",1982-01-06,1996-06-21,"Private, ltd by shares"
855,118964,BAYCLIFFE ENTERPRISES LIMITED,1982-11-19,,"Private, ltd by shares"
